Iteraciones,Energia_liberada,Energia_total
39700,0.000000,0.262327
39800,0.000000,0.255376
39900,0.000000,0.254832
40000,0.000000,0.282794
40100,0.000000,0.273711
40200,0.000000,0.254533
40300,0.000000,0.256351
40400,0.000000,0.250266
40500,0.000000,0.253688
40600,0.000000,0.258995
40700,0.000000,0.257976
40800,0.000000,0.271321
40900,0.000000,0.271678
41000,0.000000,0.255652
41100,0.000000,0.261085
41200,0.000000,0.272670
41300,0.000000,0.301574
41400,0.000000,0.272845
41500,0.000000,0.274786
41600,0.000000,0.260359
41700,0.000000,0.248520
41800,0.000000,0.264743
41900,0.000000,0.226491
42000,0.000000,0.250313
42100,0.000000,0.251672
42200,0.000000,0.234614
42300,0.000000,0.232843
42400,0.000000,0.209687
42500,0.000000,0.212472
42600,0.000000,0.237225
42700,0.000000,0.269882
42800,0.000000,0.270310
42900,0.000000,0.275183
43000,0.000000,0.256404
43100,0.000000,0.256948
43200,0.000000,0.237720
43300,0.000000,0.251935
43400,0.000000,0.237253
43500,0.000000,0.247110
43600,0.000000,0.244438
43700,0.000000,0.245572
43800,0.000000,0.264412
43900,0.000000,0.260934
44000,0.000000,0.277196
44100,0.000000,0.257106
44200,0.000000,0.277723
44300,0.000000,0.293890
44400,0.000000,0.254982
44500,0.000000,0.244308
44600,0.000000,0.252566
44700,0.000000,0.254843
44800,0.000000,0.284006
44900,0.000000,0.289213
45000,0.000000,0.277668
45100,0.000000,0.264457
45200,0.000000,0.263335
45300,0.000000,0.300436
45400,0.000000,0.269239
45500,0.000000,0.283165
45600,0.000000,0.279111
45700,0.000000,0.281193
45800,0.000000,0.258638
45900,0.000000,0.267083
46000,0.000000,0.258849
46100,0.000000,0.253356
46200,0.000000,0.262747
46300,0.000000,0.260684
46400,0.000000,0.253413
46500,0.000000,0.260372
46600,0.000000,0.246010
46700,0.000000,0.249044
46800,0.000000,0.291884
46900,0.000000,0.245438
47000,0.000000,0.261509
47100,0.000000,0.264457
47200,0.000000,0.254108
47300,0.000000,0.260519
47400,0.000000,0.244338
47500,0.000000,0.237048
47600,0.000000,0.256462
47700,0.000000,0.238001
47800,0.000000,0.251838
47900,0.000000,0.238679
48000,0.000000,0.231949
48100,0.000000,0.253048
48200,0.000000,0.235600
48300,0.000000,0.191229
48400,0.000000,0.186549
48500,0.000000,0.217874
48600,0.000000,0.232508
48700,0.000000,0.229539
48800,0.000000,0.255257
48900,0.000000,0.273433
49000,0.000000,0.273366
49100,0.000000,0.292514
49200,0.000000,0.282596
49300,0.000000,0.292450
49400,0.000000,0.276579
49500,0.000000,0.273540
49600,0.000000,0.290900
49700,0.000000,0.269727
49800,0.000000,0.251629
49900,0.000000,0.233551
50000,0.000000,0.237615
50100,0.000000,0.235489
50200,0.000000,0.260984
50300,0.000000,0.260544
50400,0.000000,0.247146
50500,0.000000,0.254466
50600,0.000000,0.261209
50700,0.000000,0.276807
50800,0.000000,0.268369
50900,0.000000,0.248111
51000,0.000000,0.255035
51100,0.000000,0.242817
51200,0.000000,0.254748
51300,0.000000,0.277661
51400,0.000000,0.280433
51500,0.000000,0.285725
51600,0.000000,0.288706
51700,0.000000,0.258744
51800,0.000000,0.262926
51900,0.000000,0.239622
52000,0.000000,0.264238
52100,0.000000,0.247563
52200,0.000000,0.247115
52300,0.000000,0.262069
52400,0.000000,0.265865
52500,0.000000,0.282624
52600,0.000000,0.259522
52700,0.000000,0.269341
52800,0.000000,0.257249
52900,0.000000,0.271924
53000,0.000000,0.267107
53100,0.000000,0.252368
53200,0.000000,0.237999
53300,0.000000,0.220828
53400,0.000000,0.237062
53500,0.000000,0.227543
53600,0.000000,0.245631
53700,0.000000,0.240944
53800,0.000000,0.246386
53900,0.000000,0.221939
54000,0.000000,0.255276
54100,0.000000,0.248631
54200,0.000000,0.256777
54300,0.000000,0.262762
54400,0.000000,0.272558
54500,0.000000,0.260471
54600,0.000000,0.253680
54700,0.000000,0.254122
54800,0.000000,0.253371
54900,0.000000,0.251224
55000,0.000000,0.269211
55100,0.000000,0.265245
55200,0.000000,0.258686
55300,0.000000,0.253299
55400,0.000000,0.244484
55500,0.000000,0.239993
55600,0.000000,0.246430
55700,0.000000,0.245165
55800,0.000000,0.247227
55900,0.000000,0.231149
56000,0.000000,0.266864
56100,0.000000,0.256474
56200,0.000000,0.264706
56300,0.000000,0.264953
56400,0.000000,0.251035
56500,0.000000,0.220337
56600,0.000000,0.229638
56700,0.000000,0.239939
56800,0.000000,0.247890
56900,0.000000,0.259312
57000,0.000000,0.278985
57100,0.000000,0.282498
57200,0.000000,0.287116
57300,0.000000,0.277965
57400,0.000000,0.298782
57500,0.000000,0.298484
57600,0.000000,0.283223
57700,0.000000,0.251798
57800,0.000000,0.258038
57900,0.000000,0.249883
58000,0.000000,0.248668
58100,0.000000,0.227134
58200,0.000000,0.242415
58300,0.000000,0.277773
58400,0.000000,0.288856
58500,0.000000,0.254054
58600,0.000000,0.262518
58700,0.000000,0.295878
58800,0.000000,0.268912
